Order Amount,Item Cost,Quantity,Profit
4800,2400,1,2400
4800,2400,1,2400
69990,69990,1,0
10895,10895,1,0
16100,16100,1,0
8528,8528,1,0
103000,103000,1,0
617,617,1,0
7244,7244,1,0
28758,9593,1,19165
28758,9604,1,19154
28758,9561,1,19197
9593,9593,1,0
38351,9593,1,28758
38351,9593,1,28758
38351,9604,1,28747
38351,9561,1,28790
6657,6657,1,0
3295,3295,1,0
28999,28999,1,0
1174,587,2,587
24999,24999,1,0
66499,66499,1,0
24999,24999,1,0
24999,24999,1,0
4222,4222,1,0
4222,4222,1,0
4894,2447,2,2447
533,533,1,0
4222,4222,1,0
5814,2907,2,2907
66499,66499,1,0
54199,54199,1,0
4222,4222,1,0
2907,2907,1,0
29995,29995,1,0
8528,8528,1,0
4698,4698,1,0
29995,29995,1,0
37000,37000,1,0
65000,65000,1,0
170000,170000,1,0
480000,170000,1,310000
480000,155000,2,325000
48000,48000,1,0
186000,186000,1,0
12100,12100,1,0
43700,43700,1,0
48000,48000,1,0
157000,157000,1,0
47000,47000,1,0
13000,13000,1,0
24000,24000,1,0
47000,47000,1,0
19200,19200,1,0
25999,25999,1,0
13000,13000,1,0
6200,6200,1,0
47000,47000,1,0
7000,7000,1,0
47000,47000,1,0
12400,6200,2,6200
47000,47000,1,0
8280,8280,1,0
15600,15600,1,0
158000,158000,1,0
135000,135000,1,0
261000,261000,1,0
372000,186000,2,186000
160000,160000,1,0
135000,135000,1,0
135000,135000,1,0
18630,18630,1,0
22999,22999,1,0
47800,47800,1,0
7240,7240,1,0
160000,160000,1,0
6200,6200,1,0
2849,2849,1,0
6200,6200,1,0
19200,19200,1,0
2200,2200,1,0
17000,17000,1,0
2849,2849,1,0
22000,22000,1,0
30500,30500,1,0
1349,1349,1,0
38000,38000,1,0
15500,15500,1,0
186000,186000,1,0
157000,157000,1,0
160000,160000,1,0
186000,186000,1,0
42500,42500,1,0
53353,53353,1,0
3000,3000,1,0
6200,6200,1,0
17000,17000,1,0
24000,24000,1,0
27400,27400,1,0
27400,27400,1,0
145000,145000,1,0
33600,33600,1,0
157000,157000,1,0
65000,65000,1,0
17000,17000,1,0
160000,160000,1,0
17000,17000,1,0
17000,17000,1,0
186000,186000,1,0
7000,7000,1,0
7240,7240,1,0
2849,2849,1,0
43868,43868,1,0
163000,163000,1,0
170000,170000,1,0
31000,15500,2,15500
25000,25000,1,0
25000,25000,1,0
27400,27400,1,0
53353,53353,1,0
170000,170000,1,0
100000,100000,1,0
37000,37000,1,0
42000,42000,1,0
33600,33600,1,0
145000,145000,1,0
186000,186000,1,0
558000,186000,3,372000
744000,186000,3,558000
744000,186000,1,558000
27400,27400,1,0
17000,17000,1,0
22000,22000,1,0
372000,186000,2,186000
1220,1220,1,0
8600,4300,2,4300
145000,145000,1,0
20000,20000,1,0
17000,17000,1,0
17000,17000,1,0
24000,24000,1,0
5700,5700,1,0
93000,93000,1,0
20000,20000,1,0
157000,157000,1,0
31200,18200,1,13000
31200,13000,1,18200
20000,20000,1,0
2849,2849,1,0
13000,13000,1,0
499,499,1,0
22000,22000,1,0
186000,186000,1,0
23500,23500,1,0
20000,20000,1,0
22000,22000,1,0
145000,145000,1,0
20000,20000,1,0
28999,28999,1,0
21200,21200,1,0
22000,22000,1,0
13000,13000,1,0
22000,22000,1,0
22000,22000,1,0
121000,121000,1,0
145000,145000,1,0
163000,163000,1,0
22000,22000,1,0
53000,53000,1,0
320000,160000,2,160000
53000,53000,1,0
53000,53000,1,0
53000,53000,1,0
23500,23500,1,0
160000,160000,1,0
22000,22000,1,0
30500,30500,1,0
15600,15600,1,0
94000,23500,4,70500
22000,22000,1,0
342000,171000,2,171000
24000,24000,1,0
2000,2000,1,0
26500,26500,1,0
13000,13000,1,0
63800,63800,1,0
13000,13000,1,0
13000,13000,1,0
15600,15600,1,0
25335,25335,1,0
7000,7000,1,0
12900,12900,1,0
37000,37000,1,0
27400,27400,1,0
15500,15500,1,0
30500,30500,1,0
37000,37000,1,0
27400,27400,1,0
163000,163000,1,0
12900,12900,1,0
171000,171000,1,0
171000,171000,1,0
12900,12900,1,0
37000,37000,1,0
37000,37000,1,0
47000,47000,1,0
47000,47000,1,0
12900,12900,1,0
133000,133000,1,0
163000,163000,1,0
21200,21200,1,0
33600,33600,1,0
27400,27400,1,0
1349,1349,1,0
33800,33800,1,0
21970,21970,1,0
15500,15500,1,0
90520,90520,1,0
12900,12900,1,0
27400,27400,1,0
47000,47000,1,0
22500,22500,1,0
18200,18200,1,0
15500,15500,1,0
15900,15900,1,0
110360,110360,1,0
499,499,1,0
22500,22500,1,0
22500,22500,1,0
15999,15999,1,0
15900,15900,1,0
499,499,1,0
7240,7240,1,0
33800,33800,1,0
158000,158000,1,0
12900,12900,1,0
163000,163000,1,0
15900,15900,1,0
22500,22500,1,0
22500,22500,1,0
20500,20500,1,0
62000,62000,1,0
409200,409200,1,0
7000,7000,1,0
27400,27400,1,0
15500,15500,1,0
25000,25000,1,0
37000,37000,1,0
37000,37000,1,0
22500,22500,1,0
22500,22500,1,0
15900,15900,1,0
12900,12900,1,0
1349,1349,1,0
30500,30500,1,0
15900,15900,1,0
12900,12900,1,0
12900,12900,1,0
15900,15900,1,0
12900,12900,1,0
1349,1349,1,0
30500,30500,1,0
15900,15900,1,0
12900,12900,1,0
12900,12900,1,0
4300,4300,1,0
12800,12800,1,0
5700,5700,1,0
5700,5700,1,0
5700,5700,1,0
5700,5700,1,0
5700,5700,1,0
5700,5700,1,0
1220,1220,1,0
186000,186000,1,0
21499,21499,1,0
21499,21499,1,0
110000,55000,2,55000
62000,15500,4,46500
999,999,1,0
21499,21499,1,0
186000,186000,1,0
28000,28000,1,0
15500,15500,1,0
20000,20000,1,0
1723992,215499,8,1508493
28999,28999,1,0
21499,21499,1,0
1349,1349,1,0
155000,155000,1,0
186000,186000,1,0
21499,21499,1,0
23500,23500,1,0
21499,21499,1,0
215499,215499,1,0
15500,15500,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
372000,186000,2,186000
21499,21499,1,0
29500,29500,1,0
21499,21499,1,0
156000,156000,1,0
21499,21499,1,0
170000,170000,1,0
21499,21499,1,0
157000,157000,1,0
340000,170000,2,170000
21499,21499,1,0
15500,15500,1,0
170000,170000,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
51000,51000,1,0
5700,5700,1,0
21499,21499,1,0
80000,20000,4,60000
21499,21499,1,0
51000,51000,1,0
21499,21499,1,0
5700,5700,1,0
51999,51999,1,0
7000,7000,1,0
21499,21499,1,0
133000,133000,1,0
29500,29500,1,0
164000,133000,1,31000
164000,15500,2,148500
21499,21499,1,0
21499,21499,1,0
184000,133000,1,51000
184000,51000,1,133000
172000,172000,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
5700,5700,1,0
172000,172000,1,0
5700,5700,1,0
173500,158000,1,15500
173500,15500,1,158000
173500,158000,1,15500
173500,15500,1,158000
23500,23500,1,0
21499,21499,1,0
5700,5700,1,0
5700,5700,1,0
5700,5700,1,0
21499,21499,1,0
21499,21499,1,0
1599,1599,1,0
1799,1799,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
15500,15500,1,0
21499,21499,1,0
21499,21499,1,0
225000,225000,1,0
21499,21499,1,0
15500,15500,1,0
1220,1220,1,0
5700,5700,1,0
225000,225000,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
158000,158000,1,0
42998,21499,2,21499
225000,225000,1,0
21499,21499,1,0
25000,25000,1,0
999,999,1,0
21499,21499,1,0
30500,30500,1,0
157000,157000,1,0
28000,28000,1,0
21499,21499,1,0
21499,21499,1,0
25999,25999,1,0
225000,225000,1,0
157000,157000,1,0
51000,51000,1,0
21499,21499,1,0
157000,157000,1,0
1349,1349,1,0
25000,25000,1,0
51000,51000,1,0
21499,21499,1,0
43000,43000,1,0
5700,5700,1,0
51000,51000,1,0
225000,225000,1,0
15500,15500,1,0
104000,104000,1,0
5700,5700,1,0
25500,25500,1,0
19000,19000,1,0
21499,21499,1,0
49500,49500,1,0
5700,5700,1,0
19000,19000,1,0
21499,21499,1,0
170000,170000,1,0
21499,21499,1,0
21499,21499,1,0
26999,26999,1,0
21499,21499,1,0
37000,37000,1,0
17500,17500,1,0
29500,29500,1,0
30500,30500,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
32500,32500,1,0
170000,170000,1,0
170000,170000,1,0
133000,133000,1,0
21499,21499,1,0
27500,27500,1,0
27500,27500,1,0
26999,26999,1,0
21499,21499,1,0
344000,172000,2,172000
5700,5700,1,0
372000,186000,2,186000
5700,5700,1,0
21499,21499,1,0
67000,23500,1,43500
67000,43500,1,23500
5700,5700,1,0
5700,5700,1,0
21499,21499,1,0
22000,22000,1,0
111000,111000,1,0
28000,28000,1,0
120000,120000,1,0
26000,26000,1,0
2849,2849,1,0
26000,26000,1,0
21499,21499,1,0
20500,20500,1,0
6300,6300,1,0
1699,1699,1,0
32500,32500,1,0
21499,21499,1,0
123000,123000,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
5700,5700,1,0
22500,22500,1,0
123000,123000,1,0
21499,21499,1,0
37000,37000,1,0
64999,64999,1,0
23999,23999,1,0
123000,123000,1,0
21499,21499,1,0
21499,21499,1,0
5700,5700,1,0
21499,21499,1,0
21499,21499,1,0
9800,9800,1,0
21499,21499,1,0
120000,120000,1,0
5698,2849,2,2849
123000,123000,1,0
120000,120000,1,0
1260000,225000,3,1035000
1260000,195000,3,1065000
499,499,1,0
133000,133000,1,0
23999,23999,1,0
195000,195000,1,0
195000,195000,1,0
585000,195000,3,390000
534000,178000,3,356000
17500,17500,1,0
5700,5700,1,0
32500,32500,1,0
120000,120000,1,0
21499,21499,1,0
25000,25000,1,0
23500,23500,1,0
5700,5700,1,0
20000,20000,1,0
21499,21499,1,0
25000,25000,1,0
158000,158000,1,0
534000,178000,3,356000
111000,111000,1,0
21499,21499,1,0
158000,158000,1,0
72000,72000,1,0
25000,25000,1,0
21499,21499,1,0
25000,25000,1,0
6200,6200,1,0
17500,17500,1,0
5700,5700,1,0
21499,21499,1,0
21499,21499,1,0
25000,25000,1,0
17500,17500,1,0
28000,28000,1,0
4999,4999,1,0
21499,21499,1,0
25000,25000,1,0
53000,53000,1,0
5700,5700,1,0
21499,21499,1,0
23500,23500,1,0
158000,158000,1,0
21499,21499,1,0
25000,25000,1,0
15500,15500,1,0
21499,21499,1,0
37000,37000,1,0
21499,21499,1,0
25000,25000,1,0
21499,21499,1,0
17500,17500,1,0
21499,21499,1,0
25000,25000,1,0
21499,21499,1,0
178000,178000,1,0
178000,178000,1,0
5700,5700,1,0
74000,74000,1,0
22500,22500,1,0
15500,15500,1,0
21000,21000,1,0
120000,120000,1,0
21499,21499,1,0
5700,5700,1,0
25000,25000,1,0
43500,43500,1,0
21499,21499,1,0
25000,25000,1,0
15500,15500,1,0
15500,15500,1,0
25000,25000,1,0
5700,5700,1,0
123000,123000,1,0
141499,21499,1,120000
141499,120000,1,21499
44999,19999,1,25000
44999,25000,1,19999
6200,6200,1,0
25000,25000,1,0
6200,6200,1,0
141499,21499,1,120000
141499,120000,1,21499
499,499,1,0
25000,25000,1,0
72000,72000,1,0
25000,25000,1,0
15500,15500,1,0
6200,6200,1,0
21499,21499,1,0
21499,21499,1,0
17500,17500,1,0
25000,25000,1,0
25000,25000,1,0
26000,26000,1,0
6200,6200,1,0
21499,21499,1,0
19999,19999,1,0
21499,21499,1,0
19999,19999,1,0
25000,25000,1,0
25000,25000,1,0
21499,21499,1,0
25000,25000,1,0
195000,195000,1,0
21499,21499,1,0
5700,5700,1,0
141499,21499,1,120000
141499,120000,1,21499
6200,6200,1,0
32500,32500,1,0
25000,25000,1,0
25000,25000,1,0
499,499,1,0
158000,158000,1,0
195000,195000,1,0
93000,93000,1,0
25000,25000,1,0
2849,2849,1,0
72000,72000,1,0
195000,195000,1,0
17500,17500,1,0
25000,25000,1,0
21499,21499,1,0
21499,21499,1,0
42000,42000,1,0
25000,25000,1,0
42000,42000,1,0
133000,133000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
15500,15500,1,0
15500,15500,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
110000,110000,1,0
155000,155000,1,0
152000,152000,1,0
93000,93000,1,0
21499,21499,1,0
25000,25000,1,0
110000,110000,1,0
6200,6200,1,0
6200,6200,1,0
6200,6200,1,0
93000,93000,1,0
21499,21499,1,0
25000,25000,1,0
25000,25000,1,0
110000,110000,1,0
93000,93000,1,0
17500,17500,1,0
25000,25000,1,0
93000,93000,1,0
93000,93000,1,0
195000,195000,1,0
17500,17500,1,0
93000,93000,1,0
6200,6200,1,0
21499,21499,1,0
41500,41500,1,0
160000,160000,1,0
456000,152000,3,304000
9750,9750,1,0
6200,6200,1,0
93000,93000,1,0
17500,17500,1,0
37000,37000,1,0
53999,53999,1,0
120000,120000,1,0
93000,15500,6,77500
499,499,1,0
25500,25500,1,0
22500,22500,1,0
21499,21499,1,0
49500,49500,1,0
49500,49500,1,0
21000,21000,1,0
6200,6200,1,0
15500,15500,1,0
18500,18500,1,0
23999,23999,1,0
49500,49500,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
288000,195000,1,93000
288000,93000,1,195000
521000,123000,3,398000
21499,21499,1,0
21499,21499,1,0
195000,195000,1,0
25500,25500,1,0
93000,93000,1,0
6200,6200,1,0
499,499,1,0
21499,21499,1,0
21499,21499,1,0
521000,152000,1,369000
24000,24000,1,0
6200,6200,1,0
93000,93000,1,0
17500,17500,1,0
21499,21499,1,0
144000,72000,2,72000
21499,21499,1,0
42998,21499,2,21499
21499,21499,1,0
3000,3000,1,0
6200,6200,1,0
21499,21499,1,0
18500,18500,1,0
21499,21499,1,0
49500,49500,1,0
21499,21499,1,0
25000,25000,1,0
93000,93000,1,0
32500,32500,1,0
42998,21499,2,21499
17500,17500,1,0
25000,25000,1,0
64999,64999,1,0
6200,6200,1,0
18500,18500,1,0
21499,21499,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
147000,147000,1,0
147000,147000,1,0
147000,147000,1,0
147000,147000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
15500,15500,1,0
15500,15500,1,0
15500,15500,1,0
15500,15500,1,0
18500,18500,1,0
18500,18500,1,0
18500,18500,1,0
18500,18500,1,0
16499,16499,1,0
16499,16499,1,0
16499,16499,1,0
16499,16499,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
19999,19999,1,0
19999,19999,1,0
19999,19999,1,0
19999,19999,1,0
9750,9750,1,0
9750,9750,1,0
9750,9750,1,0
9750,9750,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
25000,25000,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
38499,18500,1,19999
38499,19999,1,18500
38499,18500,1,19999
38499,19999,1,18500
38499,18500,1,19999
38499,19999,1,18500
38499,18500,1,19999
38499,19999,1,18500
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
37000,37000,1,0
37000,37000,1,0
37000,37000,1,0
37000,37000,1,0
37000,18500,2,18500
37000,18500,2,18500
37000,18500,2,18500
37000,18500,2,18500
6200,6200,1,0
6200,6200,1,0
6200,6200,1,0
6200,6200,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
21499,21499,1,0
