Order Amount,Item Cost,Profit
4800,2400,2400
4800,2400,2400
69990,69990,0
10895,10895,0
16100,16100,0
8528,8528,0
103000,103000,0
617,617,0
7244,7244,0
28758,9593,19165
28758,9604,19154
28758,9561,19197
9593,9593,0
38351,9593,28758
38351,9593,28758
38351,9604,28747
38351,9561,28790
6657,6657,0
3295,3295,0
28999,28999,0
1174,587,587
24999,24999,0
66499,66499,0
24999,24999,0
24999,24999,0
4222,4222,0
4222,4222,0
4894,2447,2447
533,533,0
4222,4222,0
5814,2907,2907
66499,66499,0
54199,54199,0
4222,4222,0
2907,2907,0
29995,29995,0
8528,8528,0
4698,4698,0
29995,29995,0
37000,37000,0
65000,65000,0
170000,170000,0
480000,170000,310000
480000,155000,325000
48000,48000,0
186000,186000,0
12100,12100,0
43700,43700,0
48000,48000,0
157000,157000,0
47000,47000,0
13000,13000,0
24000,24000,0
47000,47000,0
19200,19200,0
25999,25999,0
13000,13000,0
6200,6200,0
47000,47000,0
7000,7000,0
47000,47000,0
12400,6200,6200
47000,47000,0
8280,8280,0
15600,15600,0
158000,158000,0
135000,135000,0
261000,261000,0
372000,186000,186000
160000,160000,0
135000,135000,0
135000,135000,0
18630,18630,0
22999,22999,0
47800,47800,0
7240,7240,0
160000,160000,0
6200,6200,0
2849,2849,0
6200,6200,0
19200,19200,0
2200,2200,0
17000,17000,0
2849,2849,0
22000,22000,0
30500,30500,0
1349,1349,0
38000,38000,0
15500,15500,0
186000,186000,0
157000,157000,0
160000,160000,0
186000,186000,0
42500,42500,0
53353,53353,0
3000,3000,0
6200,6200,0
17000,17000,0
24000,24000,0
27400,27400,0
27400,27400,0
145000,145000,0
33600,33600,0
157000,157000,0
65000,65000,0
17000,17000,0
160000,160000,0
17000,17000,0
17000,17000,0
186000,186000,0
7000,7000,0
7240,7240,0
2849,2849,0
43868,43868,0
163000,163000,0
170000,170000,0
31000,15500,15500
25000,25000,0
25000,25000,0
27400,27400,0
53353,53353,0
170000,170000,0
100000,100000,0
37000,37000,0
42000,42000,0
33600,33600,0
145000,145000,0
186000,186000,0
558000,186000,372000
744000,186000,558000
744000,186000,558000
27400,27400,0
17000,17000,0
22000,22000,0
372000,186000,186000
1220,1220,0
8600,4300,4300
145000,145000,0
20000,20000,0
17000,17000,0
17000,17000,0
24000,24000,0
5700,5700,0
93000,93000,0
20000,20000,0
157000,157000,0
31200,18200,13000
31200,13000,18200
20000,20000,0
2849,2849,0
13000,13000,0
499,499,0
22000,22000,0
186000,186000,0
23500,23500,0
20000,20000,0
22000,22000,0
145000,145000,0
20000,20000,0
28999,28999,0
21200,21200,0
22000,22000,0
13000,13000,0
22000,22000,0
22000,22000,0
121000,121000,0
145000,145000,0
163000,163000,0
22000,22000,0
53000,53000,0
320000,160000,160000
53000,53000,0
53000,53000,0
53000,53000,0
23500,23500,0
160000,160000,0
22000,22000,0
30500,30500,0
15600,15600,0
94000,23500,70500
22000,22000,0
342000,171000,171000
24000,24000,0
2000,2000,0
26500,26500,0
13000,13000,0
63800,63800,0
13000,13000,0
13000,13000,0
15600,15600,0
25335,25335,0
7000,7000,0
12900,12900,0
37000,37000,0
27400,27400,0
15500,15500,0
30500,30500,0
37000,37000,0
27400,27400,0
163000,163000,0
12900,12900,0
171000,171000,0
171000,171000,0
12900,12900,0
37000,37000,0
37000,37000,0
47000,47000,0
47000,47000,0
12900,12900,0
133000,133000,0
163000,163000,0
21200,21200,0
33600,33600,0
27400,27400,0
1349,1349,0
33800,33800,0
21970,21970,0
15500,15500,0
90520,90520,0
12900,12900,0
27400,27400,0
47000,47000,0
22500,22500,0
18200,18200,0
15500,15500,0
15900,15900,0
110360,110360,0
499,499,0
22500,22500,0
22500,22500,0
15999,15999,0
15900,15900,0
499,499,0
7240,7240,0
33800,33800,0
158000,158000,0
12900,12900,0
163000,163000,0
15900,15900,0
22500,22500,0
22500,22500,0
20500,20500,0
62000,62000,0
409200,409200,0
7000,7000,0
27400,27400,0
15500,15500,0
25000,25000,0
37000,37000,0
37000,37000,0
22500,22500,0
22500,22500,0
15900,15900,0
12900,12900,0
1349,1349,0
30500,30500,0
15900,15900,0
12900,12900,0
12900,12900,0
15900,15900,0
12900,12900,0
1349,1349,0
30500,30500,0
15900,15900,0
12900,12900,0
12900,12900,0
4300,4300,0
12800,12800,0
5700,5700,0
5700,5700,0
5700,5700,0
5700,5700,0
5700,5700,0
5700,5700,0
1220,1220,0
186000,186000,0
21499,21499,0
21499,21499,0
110000,55000,55000
62000,15500,46500
999,999,0
21499,21499,0
186000,186000,0
28000,28000,0
15500,15500,0
20000,20000,0
1723992,215499,1508493
28999,28999,0
